股票代码,股票简称,最新公告日期,每股收益(元),营业总收入(元),净利润(元),净资产收益率(%),同比增长(%),同比增长(%),每股净资产(元),每股经营现金流量(元),销售毛利率(%),季度环比增长(%),季度环比增长(%),利润分配,所处行业
000042,中洲控股,2024-04-24 00:00:00,-2.7749,7620571730.5,-1844825335.86,-26.66,7.5889800063,-2412.74,8.627644427467,2.033471162201,34.2316753446,366.6105,-1913.2775,不分配不转增,房地产开发
000045,深纺织A,2024-03-28 00:00:00,0.16,3079678375.45,79268250.45,2.77,8.5162477282,8.13,5.690084784911,0.364775458679,16.8214491179,-7.8566,-58.1086,10派0.65元(含税),光学光电子
000048,京基智农,2024-03-20 00:00:00,3.3375,12417006232.4,1746300186.67,55.47,107.1000406944,125.89,7.261511552488,-0.781526469429,38.7221191753,87.7283,1926.0336,不分配不转增,农牧饲渔
000049,德赛电池,2024-03-26 00:00:00,1.7107,20284918957.13,561870597.3,12.72,-6.7322573397,-35.13,16.358981218845,7.543913180602,9.1253716991,25.9797,6.6228,"10派4.50元(含税,扣税后4.05元)",电池
000050,深天马A,2024-03-15 00:00:00,-0.8535,32271305895.6,-2097588448.58,-7.23,2.6196982466,-1978.0295332908,11.376089247565,1.610294790931,6.7758140374,-12.9419,16.0014,不分配不转增,光学光电子
000055,方大集团,2024-04-02 00:00:00,0.25,4292204716.01,272758249.5,4.67,11.5734741661,-3.6,5.550129072117,0.279122260823,20.6784694907,-5.4236,-92.5007,"10派0.80元(含税,扣税后0.72元)",装修装饰
000056,皇庭国际,2024-04-27 00:00:00,-0.98,1171704287.31,-1126749099.86,-72.53,76.6811017117,8.25,0.821728018314,0.258902895831,25.0923594762,-27.3104,-568.6112,不分配不转增,房地产服务
000058,深赛格,2024-03-29 00:00:00,0.07,1949065511.09,90467495.89,4.6,6.5759735458,473.44,1.629702037443,0.294386441587,22.9784271212,28.4229,-2205.3785,"10派0.30元(含税,扣税后0.27元)",商业百货
000059,华锦股份,2024-04-13 00:00:00,0.04,46142015356.63,70299928.51,0.49,-5.9518984521,-86.72,8.932643413366,0.60661265717,14.8177601991,17.4692,63.171,10派0.14元(含税),石油行业
000060,中金岭南,2024-04-25 00:00:00,0.18,65646655707.48,687762213.64,4.91,18.4161353426,-43.27,3.42652845187,0.420224799957,4.85038832,-18.0712,-116.0705,10派0.56元(含税),有色金属
000061,农产品,2024-04-18 00:00:00,0.2646,5490136004.9,448938961.24,7.58,26.1062234594,121.91,3.602097150662,0.59332124591,28.2143418574,4.6398,57.4922,10派1.10元(含税),贸易行业
000062,深圳华强,2024-04-18 00:00:00,0.4468,20593722009.7,467351812.75,6.61,-13.9824399173,-50.93,6.857969374624,-0.07130973095,9.5697208882,10.7341,-60.4534,10派2.00元(含税),电子元件
000063,中兴通讯,2024-03-09 00:00:00,1.96,124250878000,9325753000,15.19,1.0544232742,15.4135214123,14.218006285264,3.638883964299,41.5293644847,21.5025,-37.3331,10派6.83元(含税),通信设备
000065,北方国际,2024-03-30 00:00:00,0.92,21487899585.26,918064819.63,11.32,59.9602680818,44.31,8.311894411128,0.70066149451,10.3207527032,62.2137,20.8264,10派0.92元(含税),工程建设
000066,中国长城,2024-04-30 00:00:00,-0.303,13420233900.29,-977252427.62,-7.42,-4.3279938027,-895.9774953125,3.931517489198,0.135508773453,21.6160289693,76.4277,26.1897,不分配不转增,计算机设备
000068,华控赛格,2024-03-28 00:00:00,0.6495,921171706.71,653879652.86,175.55,-16.9059881566,400.68,0.694777708589,0.331052058738,0.0970212756,11.1704,735.5183,不分配不转增,环保行业
000069,华侨城A,2024-03-30 00:00:00,-0.79,55744151176.17,-6492441996.55,-9.9,-27.3853676244,40.46,7.175622465705,0.41729131522,18.971266072,94.6451,-54.1455,不分配不转增,房地产开发
000070,ST特信,2024-04-26 00:00:00,-0.3097,4937289689.32,-272482091.07,-14.27,17.789781004,-2141.22,2.117656402176,0.245834500209,14.958052414,19.396,-6146.5903,不分配不转增,通信设备
000078,海王生物,2024-04-30 00:00:00,-0.6423,36418770306.16,-1689944687.46,-43.94,-3.7428141292,-64.56,1.091641099274,-0.149114558927,9.7568508402,-10.4553,-221475.87,不分配不转增,医药商业
000088,盐田港,2024-04-09 00:00:00,0.26,893206853.49,1108328112.53,8.67,11.9854679641,134.88,3.103394040657,0.110177695441,29.2720144274,-13.4411,232.2604,"10派1.82元(含税,扣税后1.638元)",航运港口
000089,深圳机场,2024-04-08 00:00:00,0.1934,4164718288.9,396692272.66,3.63,55.9131923532,135.29,5.41997179704,0.561194037116,10.7218708732,2.566,6.2555,10派1.00元(含税),航空机场
000090,天健集团,2024-04-17 00:00:00,0.7397,26999299212.99,1517014757.66,12.57,2.0227673046,-22.28,6.089323837046,3.798262719931,14.6020733279,93.5517,425.094,10派2.50元(含税),房地产开发
000096,广聚能源,2024-04-30 00:00:00,0.167,2552770352.14,88145803.49,3.33,21.5461649206,59.87,5.134975432462,0.093923537121,7.3532954742,-8.6364,-17.2063,10派0.55元(含税),石油行业
000099,中信海直,2024-03-19 00:00:00,0.31,1969711527.1,239123149.46,4.77,9.5431706257,23.11,6.576496758717,0.751739119135,21.1585427123,11.8753,-30.8698,"10派0.817元(含税,扣税后0.7353元)",航空机场
